Date,Cal_burned,Hrs_stood,Steps ,Dist_walked
1/1/21,145,7,2937,1.3
1/2/21,103,5,1232,6
1/3/21,506,10,10975,6.1
1/4/21,343,14,9554,4.4
1/5/21,569,10,11417,6
1/6/21,273,10,6696,3.1
1/7/21,520,12,15247,7
1/8/21,291,11,4997,2.4
1/9/21,165,9,3375,1.5
1/12/21,238,12,4306,1.9
1/13/21,294,7,9062,4.2
1/14/21,215,12,2941,1.4
1/15/21,210,12,2464,1.1
1/16/21,131,7,2033,0.9
1/17/21,252,12,5292,2.4
1/18/21,205,11,3432,1.6
1/19/21,196,12,2579,1.2
1/20/21,142,8,2119,0.9
1/21/21,381,11,11536,5.3
1/22/21,227,12,4661,2.1
1/23/21,180,9,3652,1.7
1/24/21,247,9,4533,2.1
1/25/21,361,11,9959,4.5
1/26/21,181,8,3225,1.5
1/27/21,155,7,3170,1.5
1/28/21,164,9,2781,1.2
1/29/21,339,12,7230,3.3
1/30/21,327,12,8538,4
1/31/21,158,10,2928,1.3
2/1/21,220,10,4488,2
2/2/21,171,9,3361,1.5
2/3/21,180,10,3525,1.6
2/4/21,326,12,8427,3.8
2/5/21,197,11,2655,1.2
2/6/21,210,11,3194,1.5
2/7/21,214,6,5949,2.7
2/8/21,302,12,5964,3
2/9/21,205,9,4009,1.8
2/10/21,205,10,2976,1.4
2/11/21,190,9,4074,1.8
2/12/21,156,8,2242,1.1
2/13/21,156,5,3614,1.7
2/14/21,90,7,1058,0.5
2/19/21,222,8,5068,2.4
2/21/21,267,10,4413,2.3
2/22/21,261,11,6084,2.9
2/23/21,312,11,7481,3.4
2/24/21,205,9,3330,1.6
2/25/21,317,10,7200,3.4
2/26/21,255,12,4725,2.2