Date,Avg_Temp
1/1/21,42.1
1/2/21,47.1
1/3/21,51.6
1/4/21,54.2
1/5/21,59
1/6/21,62.1
1/7/21,50.5
1/8/21,43.1
1/9/21,42.1
1/12/21,37.8
1/13/21,45.3
1/14/21,53.7
1/15/21,50.3
1/16/21,48.2
1/17/21,52.1
1/18/21,60.6
1/19/21,60.1
1/20/21,51
1/21/21,57.2
1/22/21,60.5
1/23/21,58.3
1/24/21,65.2
1/25/21,66.2
1/26/21,54.3
1/27/21,54
1/28/21,43.8
1/29/21,53.2
1/30/21,64.9
1/31/21,59
2/1/21,49.3
2/2/21,51
2/3/21,57.6
2/4/21,67.1
2/5/21,51.6
2/6/21,56
2/7/21,54.9
2/8/21,57.2
2/9/21,56.3
2/10/21,41.3
2/11/21,33.6
2/12/21,31.3
2/13/21,30
2/14/21,24.8
2/19/21,31.5
2/21/21,57.6
2/22/21,56
2/23/21,60.5
2/24/21,71.4
2/25/21,55.5
2/26/21,53.9